id,label
hg16,July 2003(NCBI34/hg16)
hg38,Dec. 2013(GRCh38/hg38)
hg17,May 2004(NCBI35/hg17)
hg18,Mar. 2006(NCBI36/hg18)
hg19,Feb. 2009(GRCh37/hg19)
