id,label,description,codesystem,code,iri
U,Unknown,"Not known, observed, recorded; or reported as unknown by the data contributor.",NCIT,C17998,http://purl.obolibrary.org/obo/NCIT_C17998
Y,Yes,The affirmative response to a question.,NCIT,C49488,http://purl.obolibrary.org/obo/NCIT_C49488
N,No,The non-affirmative response to a question.,NCIT,C49487,http://purl.obolibrary.org/obo/NCIT_C49487
