name	entity	label	dataType	idAttribute	nillable
value	pathologicalstate	Value (English)	String	TRUE	FALSE
description	pathologicalstate	Description (English)	Text	FALSE	TRUE
codesystem	pathologicalstate	The code system (e.g. ontology) this term belongs to	String	FALSE	TRUE
code	pathologicalstate	The code within the code system	String	FALSE	TRUE
iri	pathologicalstate	The Internationalized Resource Identifier for this term	String	FALSE	TRUE
